#Aegean version 2.3.0-(2022-08-17)
# on dataset: NGC6822_A+B.comb_spw.wt_nbcont.image.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0023,00)  0.000002  0.000046 19:45:13.46  -14:52:55.02 296.3060759  0.0000112 -14.8819511  0.0000129  0.001485  0.000042  0.002159  0.000071  3.65  0.04  3.06  0.04   -3.9   0.1   0000000
(0024,00)  0.000000  0.000047 19:45:04.17  -14:52:39.72 296.2673848  0.0000342 -14.8777003  0.0000511  0.000462  0.000043  0.000726  0.000083  4.27  0.19  2.83  0.13   -2.3   0.1   0000000
(0025,00) -0.000004  0.000049 19:45:07.67  -14:52:29.50 296.2819460  0.0000038 -14.8748611  0.0000063  0.005352  0.000101  0.005859  0.000117  3.35  0.02  2.51  0.01   -5.9   0.0   0000000
(0025,01) -0.000003  0.000049 19:45:07.72  -14:52:33.64 296.2821753  0.0000038 -14.8760120  0.0000063  0.006571  0.000101  0.013265  0.000213  5.56  0.02  2.79  0.01   -6.9   0.0   0000000
(0026,00)  0.000005  0.000060 19:44:48.43  -14:52:28.39 296.2017908  0.0000335 -14.8745516  0.0000463  0.000597  0.000057  0.000793  0.000090  3.78  0.16  2.71  0.12   -5.2   0.2   0000000
(0027,00)  0.000008  0.000044 19:44:11.80  -14:52:13.19 296.0491870  0.0000542 -14.8703305  0.0000544  0.000335  0.000042  0.000476  0.000074  3.43  0.21  3.18  0.22   -8.4   1.3   0000000
(0028,00)  0.000008  0.000054 19:45:13.10  -14:51:28.18 296.3045805  0.0000008 -14.8578272  0.0000010  0.025480  0.000045  0.054212  0.000110  4.59  0.00  3.56  0.00   -9.9   0.0   0000000
(0028,01)  0.000003  0.000055 19:45:12.29  -14:51:21.42 296.3012235  0.0000008 -14.8559503  0.0000010  0.009985  0.000045  0.034643  0.000158  6.13  0.00  4.35  0.00  -11.7   0.0   0000000
(0029,00)  0.000001  0.000041 19:43:57.02  -14:50:40.89 295.9875743  0.0000891 -14.8446916  0.0000792  0.000282  0.000036  0.000747  0.000145  4.83  0.36  4.21  0.53    0.3   0.9   0000000
(0031,00) -0.000001  0.000044 19:43:18.82  -14:49:36.05 295.8284063  0.0000895 -14.8266807  0.0000713  0.000308  0.000032  0.001351  0.000198  6.23  0.32  5.41  0.48   80.5   0.8   0000000
(0032,00)  0.000008  0.000043 19:45:46.21  -14:49:29.37 296.4425388  0.0000366 -14.8248254  0.0000452  0.000416  0.000040  0.000565  0.000066  3.64  0.16  2.87  0.13   -6.1   0.2   0000000
(0034,00) -0.000000  0.000043 19:46:24.66  -14:49:15.66 296.6027630  0.0000438 -14.8210163  0.0000286  0.000520  0.000033  0.001392  0.000112  5.35  0.10  3.84  0.18   85.6   0.2   0000000
(0035,00)  0.000003  0.000040 19:46:22.88  -14:49:13.52 296.5953354  0.0011607 -14.8204215  0.0001750  0.000186  0.000230  0.000374  0.000576  4.06  0.88  3.80  3.39   84.5   8.3   0000000
(0035,01)  0.000001  0.000041 19:46:23.12  -14:49:14.27 296.5963330  0.0011607 -14.8206301  0.0001750  0.000178  0.000230  0.000457  0.000728  5.36  0.88  3.67  3.39   -6.1   5.4   0000000
(0037,00)  0.000004  0.000044 19:43:15.86  -14:48:40.32 295.8160792  0.0000909 -14.8111994  0.0001967  0.000223  0.000041  0.000593  0.000190  6.36  1.27  3.21  0.54   -5.3   0.2   0000000
(0038,00)  0.000009  0.000056 19:44:56.58  -14:48:31.69 296.2357585  0.0001868 -14.8088027  0.0001734  0.000284  0.000045  0.001504  0.000475  6.77  1.04  6.01  1.35  -11.3   2.3   0000000
