#Aegean version 2.3.0-(2022-08-17)
# on dataset: IC10_A+B_full.comb_spw.wt_nbcont.image.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0050,01)  0.000011  0.000024 00:18:19.53  +59:14:26.20   4.5813575  0.0000250  59.2406109  0.0000187  0.000137  0.000020  0.000849  0.000123 10.18  0.04  2.36  0.03   26.0   0.1   0000000
(0051,00) -0.000005  0.000024 00:18:43.47  +59:14:33.25   4.6811337  0.0000334  59.2425703  0.0000250  0.000270  0.000021  0.000569  0.000046  3.38  0.06  2.41  0.03  -66.7   0.2   0000000
(0052,00) -0.000001  0.000025 00:22:22.98  +59:15:00.70   5.5957658  0.0000373  59.2501947  0.0000362  0.000242  0.000018  0.000921  0.000071  4.10  0.05  3.58  0.05  -70.6   0.5   0000000
(0053,00) -0.000003  0.000028 00:20:17.94  +59:15:22.57   5.0747596  0.0000509  59.2562695  0.0000401  0.000181  0.000025  0.000181  0.000025  2.16 -1.00  1.79 -1.00  -65.6  -1.0   0000100
(0054,00)  0.000002  0.000030 00:20:08.36  +59:15:40.19   5.0348296  0.0000116  59.2611635  0.0000115  0.000771  0.000025  0.001650  0.000055  2.93  0.02  2.82  0.02  -63.3   0.6   0000000
(0055,00)  0.000003  0.000029 00:21:30.77  +59:16:01.12   5.3782120  0.0000568  59.2669785  0.0000779  0.000173  0.000027  0.000395  0.000069  3.37  0.10  2.63  0.19   23.6   0.6   0000000
(0056,00) -0.000005  0.000028 00:21:20.10  +59:16:03.51   5.3337374  0.0000260  59.2676415  0.0000232  0.000320  0.000027  0.000415  0.000036  2.48  0.04  2.02  0.03  -66.7   0.4   0000000
(0057,00) -0.000021  0.000030 00:20:13.60  +59:16:26.74   5.0566830  0.0000432  59.2740954  0.0000517  0.000233  0.000024  0.000689  0.000076  3.81  0.07  3.00  0.10   22.1   0.3   0000000
(0058,00)  0.000008  0.000028 00:19:51.50  +59:16:44.28   4.9646021  0.0000338  59.2789657  0.0000271  0.000246  0.000029  0.000228  0.000028  2.19  0.06  1.63  0.04  -65.8   0.4   0000000
(0059,00) -0.000012  0.000036 00:20:58.76  +59:16:50.27   5.2448514  0.0000372  59.2806308  0.0000372  0.000503  0.000072  0.001097  0.000159  3.24  0.07  2.60  0.04  -69.0   0.4   0000000
(0059,01) -0.000010  0.000037 00:20:59.28  +59:16:51.74   5.2470020  0.0000372  59.2810391  0.0000372  0.000267  0.000072  0.000674  0.000181  3.70  0.02  2.64  0.01  -82.6   0.4   0000000
(0059,02) -0.000008  0.000038 00:20:59.66  +59:16:53.47   5.2485659  0.0000372  59.2815206  0.0000372  0.000242  0.000072  0.000773  0.000230  4.18  0.08  2.96  0.05  -66.5   0.4   0000000
(0059,03) -0.000006  0.000040 00:20:59.92  +59:16:54.88   5.2496666  0.0000372  59.2819120  0.0000372  0.000188  0.000072  0.000152  0.000058  1.99  0.09  1.57  0.05  -63.9   0.3   0000000
(0059,04) -0.000012  0.000035 00:20:58.30  +59:16:49.39   5.2429009  0.0000372  59.2803868  0.0000372  0.000185  0.000072  0.003172  0.001229 13.94  0.08  4.76  0.05  -66.8   0.4   0000000
(0060,00) -0.000004  0.000027 00:21:24.31  +59:16:52.94   5.3512774  0.0000629  59.2813725  0.0000550  0.000138  0.000025  0.000138  0.000025  2.16 -1.00  1.79 -1.00  -65.4  -1.0   0000100
(0061,00)  0.000001  0.000048 00:20:24.42  +59:16:54.58   5.1017598  0.0000532  59.2818285  0.0000435  0.000288  0.000044  0.000288  0.000044  2.16 -1.00  1.79 -1.00  -65.6  -1.0   0000100
(0062,00) -0.000007  0.000028 00:19:43.52  +59:16:56.92   4.9313251  0.0000305  59.2824778  0.0000280  0.000260  0.000028  0.000288  0.000032  2.19  0.05  1.95  0.04  -65.0   0.8   0000000
(0063,00) -0.000000  0.000036 00:21:01.66  +59:17:00.70   5.2569308  0.0000089  59.2835273  0.0000084  0.001775  0.000063  0.003767  0.000136  3.47  0.02  2.36  0.01  -64.1   0.0   0000000
(0063,01)  0.000000  0.000034 00:21:02.15  +59:17:06.61   5.2589724  0.0000089  59.2851697  0.0000084  0.000130  0.000063  0.000077  0.000037  1.57  0.02  1.46  0.01  -66.7   0.0   0000000
(0063,02)  0.000001  0.000034 00:21:02.22  +59:17:05.05   5.2592407  0.0000089  59.2847351  0.0000084  0.000134  0.000063  0.000152  0.000071  2.28  0.02  1.92  0.01  -62.3   0.0   0000000
(0063,03)  0.000000  0.000036 00:21:01.85  +59:17:02.76   5.2577278  0.0000089  59.2841002  0.0000084  0.000300  0.000063  0.009444  0.001977 12.78  0.01  9.52  0.01   18.7   0.0   0000000
(0063,04) -0.000002  0.000037 00:21:00.95  +59:17:04.85   5.2539557  0.0000089  59.2846795  0.0000084  0.000174  0.000063  0.001591  0.000573 12.14  0.02  2.91  0.01  -64.9   0.0   0000000
(0063,05) -0.000002  0.000036 00:21:01.22  +59:17:06.56   5.2550831  0.0000089  59.2851557  0.0000084  0.000136  0.000063  0.000824  0.000382  8.03  0.02  2.92  0.01  -59.7   0.0   0000000
(0063,06) -0.000002  0.000036 00:21:00.88  +59:17:07.12   5.2536649  0.0000089  59.2853118  0.0000084  0.000137  0.000063  0.000126  0.000058  1.89  0.02  1.88  0.01  -64.3   0.0   0000000
(0063,07) -0.000002  0.000035 00:21:01.34  +59:17:09.73   5.2555883  0.0000089  59.2860353  0.0000084  0.000145  0.000063  0.000382  0.000166  4.04  0.02  2.52  0.01  -65.5   0.0   0000000
(0064,00)  0.000001  0.000025 00:21:55.87  +59:17:00.96   5.4827712  0.0000540  59.2835993  0.0000671  0.000168  0.000022  0.000480  0.000066  3.65  0.09  3.01  0.14   22.4   0.6   0000000
(0065,00)  0.000100  0.000112 00:20:27.16  +59:17:05.85   5.1131852  0.0000243  59.2849577  0.0000238  0.001559  0.000068  0.008390  0.000386  4.66  0.04  4.46  0.04  -61.5   0.8   0000000
(0066,00)  0.000115  0.000102 00:20:28.08  +59:17:09.40   5.1169993  0.0000534  59.2859450  0.0000567  0.000819  0.000066  0.005852  0.000497  5.42  0.09  5.09  0.10   19.3   1.2   0000000
(0067,00)  0.000011  0.000026 00:19:14.49  +59:17:11.64   4.8103579  0.0000163  59.2865659  0.0000148  0.000462  0.000023  0.000754  0.000038  2.70  0.02  2.34  0.02  -64.6   0.3   0000000
(0068,00) -0.000002  0.000026 00:21:29.52  +59:17:11.30   5.3730197  0.0000670  59.2864732  0.0000604  0.000139  0.000025  0.000139  0.000025  2.16 -1.00  1.79 -1.00  -65.4  -1.0   0000101
(0069,00)  0.000079  0.000078 00:20:27.55  +59:17:23.61   5.1147857  0.0001129  59.2898927  0.0001058  0.000461  0.000052  0.004651  0.000635  6.32  0.34  6.16  0.34  -63.5   7.7   0000000
(0070,00)  0.000061  0.000071 00:20:26.97  +59:17:28.66   5.1123711  0.0000091  59.2912953  0.0000091  0.002406  0.000063  0.004751  0.000130  2.81  0.01  2.72  0.01  -61.1   0.6   0000000
(0071,00) -0.000016  0.000036 00:20:20.70  +59:17:36.14   5.0862452  0.0001336  59.2933722  0.0002025  0.000180  0.000185  0.000607  0.000627  3.91  0.18  3.34  0.16   15.6   1.0   0000000
(0071,01) -0.000016  0.000037 00:20:21.14  +59:17:34.33   5.0881002  0.0001335  59.2928692  0.0002025  0.000261  0.000185  0.001842  0.001316  6.27  0.31  4.35  0.28  -62.5   1.4   0000000
(0071,02) -0.000019  0.000037 00:20:20.91  +59:17:32.45   5.0871179  0.0001335  59.2923464  0.0002025  0.000141  0.000185  0.000413  0.000544  6.23  0.28  1.81  0.25  -65.9   1.5   0000000
(0071,03) -0.000020  0.000037 00:20:20.62  +59:17:31.40   5.0859185  0.0001336  59.2920544  0.0002025  0.000166  0.000185  0.001183  0.001328 10.85  0.29  2.54  0.26  -65.0   1.3   0000000
(0072,00)  0.000000  0.000026 00:21:19.38  +59:17:37.91   5.3307645  0.0000245  59.2938626  0.0000279  0.000326  0.000020  0.000966  0.000063  3.68  0.04  3.11  0.06   30.9   0.3   0000000
(0073,00)  0.000031  0.000054 00:20:27.70  +59:17:39.23   5.1154276  0.0000245  59.2942308  0.0000196  0.000976  0.000028  0.009616  0.000285  7.38  0.03  5.16  0.02  -71.1   0.1   0000000
(0074,00) -0.000000  0.000023 00:18:55.66  +59:17:37.23   4.7319121  0.0000469  59.2936751  0.0000377  0.000162  0.000023  0.000188  0.000028  2.35  0.08  1.89  0.06  -65.5   0.7   0000000
(0075,00) -0.000011  0.000034 00:20:18.29  +59:17:41.00   5.0762048  0.0000409  59.2947213  0.0000335  0.000330  0.000023  0.001521  0.000112  4.79  0.08  3.72  0.06  -63.2   0.3   0000000
(0076,00) -0.000002  0.000025 00:19:10.00  +59:17:44.77   4.7916611  0.0000105  59.2957696  0.0000116  0.000703  0.000018  0.002359  0.000061  3.85  0.01  3.37  0.02   24.4   0.1   0000000
(0077,00)  0.000006  0.000025 00:18:59.86  +59:17:45.06   4.7494317  0.0000615  59.2958493  0.0000452  0.000139  0.000023  0.000139  0.000023  2.16 -1.00  1.79 -1.00  -65.9  -1.0   0000100
(0078,00) -0.000019  0.000033 00:20:19.34  +59:18:02.46   5.0805689  0.0000217  59.3006825  0.0000203  0.000461  0.000028  0.000888  0.000056  2.87  0.03  2.59  0.03  -67.0   0.5   0000000
(0079,00)  0.000012  0.000023 00:17:49.17  +59:18:07.00   4.4548831  0.0001392  59.3019456  0.0001517  0.000127  0.000017  0.001158  0.000182  5.94  0.36  5.94  0.36  -70.9   9.3   0000000
(0080,00)  0.000000  0.000023 00:23:01.12  +59:18:12.49   5.7546803  0.0001704  59.3034692  0.0002469  0.000115  0.000020  0.000770  0.000209  5.09  0.75  5.09  0.74  -61.7  81.4   0000000
(0081,00)  0.000006  0.000028 00:20:50.29  +59:18:29.04   5.2095412  0.0000289  59.3080671  0.0000226  0.000307  0.000026  0.000419  0.000037  2.70  0.05  1.95  0.03  -64.7   0.2   0000000
(0082,00)  0.000011  0.000047 00:20:17.38  +59:18:39.73   5.0724014  0.0000026  59.3110357  0.0000023  0.005851  0.000035  0.016274  0.000100  3.68  0.00  2.92  0.00  -63.3   0.0   0000000
(0083,00) -0.000007  0.000022 00:18:44.02  +59:18:35.36   4.6834156  0.0000368  59.3098216  0.0000283  0.000218  0.000020  0.000401  0.000038  3.17  0.06  2.24  0.04  -67.2   0.3   0000000
(0084,00) -0.000010  0.000033 00:20:26.81  +59:18:43.60   5.1117217  0.0000098  59.3121119  0.0000096  0.000936  0.000030  0.001388  0.000046  2.46  0.01  2.33  0.01  -66.9   0.4   0000000
(0085,00)  0.000004  0.000027 00:20:44.62  +59:18:47.62   5.1858988 -1.0000000  59.3132283 -1.0000000  0.000151 -1.000000  0.000151 -1.000000  2.16 -1.00  1.79 -1.00  -65.5  -1.0   0010101
(0086,00) -0.000009  0.000035 00:20:19.28  +59:18:54.84   5.0803404  0.0000317  59.3152320  0.0000286  0.000892  0.000029  0.006100  0.000205  5.46  0.03  4.83  0.04  -66.6   0.2   0000000
(0086,01) -0.000002  0.000039 00:20:18.74  +59:18:50.95   5.0780793  0.0000317  59.3141536  0.0000286  0.000446  0.000029  0.003707  0.000242  5.97  0.03  5.38  0.04  -64.4   0.2   0000000
(0087,00) -0.000005  0.000035 00:20:14.97  +59:18:53.94   5.0623732  0.0000070  59.3149842  0.0000066  0.001643  0.000027  0.004890  0.000081  3.52  0.01  3.27  0.01  -70.6   0.2   0000000
(0089,00)  0.000002  0.000027 00:19:45.24  +59:18:57.62   4.9384894  0.0000442  59.3160049  0.0000372  0.000185  0.000024  0.000185  0.000024  2.16 -1.00  1.79 -1.00  -65.7  -1.0   0000100
(0090,00)  0.000004  0.000024 00:19:35.75  +59:19:02.93   4.8989438  0.0000762  59.3174813  0.0000573  0.000167  0.000019  0.000667  0.000087  4.57  0.22  3.38  0.13  -60.6   0.5   0000000
(0092,00)  0.000014  0.000032 00:20:10.05  +59:19:14.61   5.0418625  0.0000234  59.3207237  0.0000245  0.000449  0.000020  0.002376  0.000111  4.63  0.05  4.42  0.05   32.4   0.8   0000000
